timestamp,absorbance_od600,cell_concentration_cells_per_ml
2025-10-26T08:50:53.668849-08:00,0.7219,721900000
2025-10-26T02:40:00.535611-08:00,0.7541,754100000
2025-10-26T02:17:45.723109-08:00,0.7595,759500000
2025-10-26T02:12:00.403895-08:00,0.744,744000000
2025-10-26T01:27:00.239843-08:00,0.7249,724900000
2025-10-26T01:07:58.289154-08:00,0.7135,713500000
2025-10-26T00:50:03.160616-08:00,0.6857,685700000
2025-10-26T00:25:55.429519-08:00,0.6866,686600000
2025-10-26T00:18:59.713491-08:00,0.6795,679500000
2025-10-26T00:12:00.145279-08:00,0.675,675000000
2025-10-25T23:04:57.539908-08:00,0.6662,666200000
2025-10-25T22:57:55.624169-08:00,0.6564,656400000
2025-10-25T22:50:59.984713-08:00,0.6372,637200000
2025-10-25T22:43:55.699574-08:00,0.6262,626200000
2025-10-25T22:36:59.568308-08:00,0.6075,607500000
2025-10-25T22:29:55.543188-08:00,0.5859,585900000
2025-10-25T22:20:59.219691-08:00,0.5635,563500000
2025-10-25T22:11:00.350583-08:00,0.5342,534200000
2025-10-25T22:03:59.535055-08:00,0.5037,503700000
2025-10-25T21:55:56.301982-08:00,0.4737,473700000
2025-10-25T21:42:55.494321-08:00,0.4682,468200000
2025-10-25T21:32:45.242355-08:00,0.4274,427400000
2025-10-25T17:34:43.521669-08:00,0.5052,505200000
2025-10-25T17:28:43.867226-08:00,0.5104,510400000
2025-10-25T17:22:43.584895-08:00,0.5156,515600000
2025-10-25T17:16:46.671458-08:00,0.5162,516200000
2025-10-25T17:10:48.189142-08:00,0.52,520000000
2025-10-25T17:04:44.437547-08:00,0.4979,497900000
