timestamp,absorbance_od600,cell_concentration_cells_per_ml,parent_well,consider_data
2025-10-26T08:50:53.668849-0800,0.5827,582700000,B1,False
2025-10-26T02:40:00.535611-0800,0.4576,457600000,B1,False
2025-10-26T02:17:45.723109-0800,0.4514,451400000,B1,False
2025-10-26T02:12:00.403895-0800,0.4441,444100000,B1,False
2025-10-26T01:27:00.239843-0800,0.4187,418700000,B1,False
2025-10-26T01:07:58.289154-0800,0.4131,413100000,B1,False
2025-10-26T00:50:03.160616-0800,0.4039,403900000,B1,False
2025-10-26T00:25:55.429519-0800,0.4012,401200000,B1,False
2025-10-26T00:18:59.713491-0800,0.3989,398900000,B1,False
2025-10-26T00:12:00.145279-0800,0.3962,396200000,B1,False
2025-10-26T00:04:57.539908-0800,0.3964,396400000,B1,False
2025-10-25T23:57:55.624169-0800,0.3886,388600000,B1,False
2025-10-25T23:50:59.984713-0800,0.3872,387200000,B1,False
2025-10-25T23:43:55.699574-0800,0.3865,386500000,B1,False
2025-10-25T23:36:59.568308-0800,0.3887,388700000,B1,False
2025-10-25T23:29:55.543188-0800,0.3903,390300000,B1,True
2025-10-25T23:20:59.219691-0800,0.3923,392300000,B1,True
2025-10-25T23:11:00.350583-0800,0.4034,403400000,B1,True
2025-10-25T23:03:59.535055-0800,0.4099,409900000,B1,True
2025-10-25T22:55:56.301982-0800,0.4927,492700000,B1,True
2025-10-25T22:42:55.494321-0800,0.5525,552500000,B1,True
2025-10-25T22:32:45.242355-0800,0.3478,347800000,B1,True
2025-10-25T21:49:41.067885-0800,0.382,382000000,B1,True
2025-10-25T21:44:46.502755-0800,0.3892,389200000,B1,True
2025-10-25T21:39:41.162692-0800,0.3911,391100000,B1,True
2025-10-25T21:34:41.706569-0800,0.3921,392100000,B1,True
2025-10-25T21:29:42.883790-0800,0.3912,391200000,B1,True
2025-10-25T21:24:41.436775-0800,0.3873,387300000,B1,True
2025-10-25T21:19:41.211816-0800,0.378,378000000,B1,True
2025-10-25T21:14:40.637833-0800,0.3695,369500000,B1,True
2025-10-25T21:09:42.780499-0800,0.3624,362400000,B1,True
2025-10-25T21:04:44.029957-0800,0.3631,363100000,B1,True
2025-10-25T20:59:43.581140-0800,0.3524,352400000,B1,True
2025-10-25T20:54:41.900348-0800,0.34,340000000,B1,True
2025-10-25T20:49:40.611494-0800,0.3301,330100000,B1,True
2025-10-25T20:44:43.602202-0800,0.3257,325700000,B1,False
2025-10-25T20:38:43.449861-0800,0.3215,321500000,B1,False
2025-10-25T20:32:42.566013-0800,0.3114,311400000,B1,False
2025-10-25T20:26:43.876833-0800,0.2977,297700000,B1,False
2025-10-25T20:20:40.896977-0800,0.2858,285800000,B1,False
2025-10-25T20:14:40.502046-0800,0.2704,270400000,B1,False
2025-10-25T20:08:40.769491-0800,0.2548,254800000,B1,False
2025-10-25T20:03:44.356398-0800,0.2473,247300000,B1,False
2025-10-25T19:58:40.482859-0800,0.2467,246700000,B1,False
2025-10-25T19:53:43.350143-0800,0.3409,340900000,B1,False
2025-10-25T19:48:42.673894-0800,0.3974,397400000,B1,False
